name,country,iata,icao,timezone_pytz,state
Nellis Air Force Base,United States,LSV,KLSV,America/Los_Angeles,Nevada
March ARB Airport,United States,RIV,KRIV,America/Los_Angeles,California
Modesto City Co-Harry Sham Field,United States,MOD,KMOD,America/Los_Angeles,California
Sacramento International Airport,United States,SMF,KSMF,America/Los_Angeles,California
Waukegan National Airport,United States,UGN,KUGN,America/Chicago,Illinois
City of Colorado Springs Municipal Airport,United States,COS,KCOS,America/Denver,Colorado
Buffalo Niagara International Airport,United States,BUF,KBUF,America/New_York,New York
Griffing Sandusky Airport,United States,SKY,KSKY,America/New_York,Ohio
Snohomish County (Paine Field) Airport,United States,PAE,KPAE,America/Los_Angeles,Washington
Mountain Home Air Force Base,United States,MUO,KMUO,America/Denver,Idaho
Cedar City Regional Airport,United States,CDC,KCDC,America/Denver,Utah
Bradley International Airport,United States,BDL,KBDL,America/New_York,Connecticut
Mc Allen Miller International Airport,United States,MFE,KMFE,America/Chicago,Texas
Norfolk Naval Station (Chambers Field),United States,NGU,KNGU,America/New_York,Virginia
Westover ARB/Metropolitan Airport,United States,CEF,KCEF,America/New_York,Massachusetts
Lubbock Preston Smith International Airport,United States,LBB,KLBB,America/Chicago,Texas
Chicago O'Hare International Airport,United States,ORD,KORD,America/Chicago,Illinois
Boca Raton Airport,United States,BCT,KBCT,America/New_York,Florida
Fairbanks International Airport,United States,FAI,PAFA,America/Anchorage,Alaska
Cannon Air Force Base,United States,CVS,KCVS,America/Denver,New Mexico
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,United States,NGF,PHNG,Pacific/Honolulu,Hawaii
Offutt Air Force Base,United States,OFF,KOFF,America/Chicago,Nebraska
Gulkana Airport,United States,GKN,PAGK,America/Anchorage,Alaska
Watertown International Airport,United States,ART,KART,America/New_York,New York
Palm Springs International Airport,United States,PSP,KPSP,America/Los_Angeles,California
Rick Husband Amarillo International Airport,United States,AMA,KAMA,America/Chicago,Texas
Fort Dodge Regional Airport,United States,FOD,KFOD,America/Chicago,Iowa
Barksdale Air Force Base,United States,BAD,KBAD,America/Chicago,Louisiana
Topeka Regional Airport - Forbes Field,United States,FOE,KFOE,America/Chicago,Kansas
Cotulla-La Salle County Airport,United States,COT,KCOT,America/Chicago,Texas
Wilmington International Airport,United States,ILM,KILM,America/New_York,North Carolina
Baton Rouge Metropolitan Airport,United States,BTR,KBTR,America/Chicago,Louisiana
Tyler Pounds Regional Airport,United States,TYR,KTYR,America/Chicago,Texas
Baltimore/Washington International Thurgood Marshall Airport,United States,BWI,KBWI,America/New_York,Maryland
Hobart Regional Airport,United States,HBR,KHBR,America/Chicago,Oklahoma
Lanai Airport,United States,LNY,PHNY,Pacific/Honolulu,Hawaii
Alexandria International Airport,United States,AEX,KAEX,America/Chicago,Louisiana
Condron Army Air Field,United States,WSD,KWSD,America/Denver,New Mexico
Cold Bay Airport,United States,CDB,PACD,America/Anchorage,Alaska
Tulsa International Airport,United States,TUL,KTUL,America/Chicago,Oklahoma
Sitka Rocky Gutierrez Airport,United States,SIT,PASI,America/Anchorage,Alaska
Long Island Mac Arthur Airport,United States,ISP,KISP,America/New_York,New York
Minneapolis-St Paul International/Wold-Chamberlain Airport,United States,MSP,KMSP,America/Chicago,Minnesota
New Castle Airport,United States,ILG,KILG,America/New_York,Delaware
Unalaska Airport,United States,DUT,PADU,America/Anchorage,Alaska
Louis Armstrong New Orleans International Airport,United States,MSY,KMSY,America/Chicago,Louisiana
Portland International Jetport Airport,United States,PWM,KPWM,America/New_York,Maine
Will Rogers World Airport,United States,OKC,KOKC,America/Chicago,Oklahoma
Albany International Airport,United States,ALB,KALB,America/New_York,New York
Valdez Pioneer Field,United States,VDZ,PAVD,America/Anchorage,Alaska
Langley Air Force Base,United States,LFI,KLFI,America/New_York,Virginia
John Wayne Airport-Orange County Airport,United States,SNA,KSNA,America/Los_Angeles,California
Columbus Air Force Base,United States,CBM,KCBM,America/Chicago,Mississippi
Kendall-Tamiami Executive Airport,United States,TMB,KTMB,America/New_York,Florida
Oceana Naval Air Station,United States,NTU,KNTU,America/New_York,Virginia
Grissom Air Reserve Base,United States,GUS,KGUS,America/New_York,Indiana
Casper-Natrona County International Airport,United States,CPR,KCPR,America/Denver,Wyoming
Destin-Ft Walton Beach Airport,United States,VPS,KVPS,America/Chicago,Florida
Craig Field,United States,SEM,KSEM,America/Chicago,Alabama
Key West International Airport,United States,EYW,KEYW,America/New_York,Florida
Charlotte Douglas International Airport,United States,CLT,KCLT,America/New_York,North Carolina
McCarran International Airport,United States,LAS,KLAS,America/Los_Angeles,Nevada
Orlando International Airport,United States,MCO,KMCO,America/New_York,Florida
Florence Regional Airport,United States,FLO,KFLO,America/New_York,South Carolina
Great Falls International Airport,United States,GTF,KGTF,America/Denver,Montana
Youngstown Warren Regional Airport,United States,YNG,KYNG,America/New_York,Ohio
Ladd AAF Airfield,United States,FBK,PAFB,America/Anchorage,Alaska
Robins Air Force Base,United States,WRB,KWRB,America/New_York,Georgia
Pullman Moscow Regional Airport,United States,PUW,KPUW,America/Los_Angeles,Washington
Lewiston Nez Perce County Airport,United States,LWS,KLWS,America/Los_Angeles,Idaho
Elmira Corning Regional Airport,United States,ELM,KELM,America/New_York,New York
Ithaca Tompkins Regional Airport,United States,ITH,KITH,America/New_York,New York
Monterey Peninsula Airport,United States,MRY,KMRY,America/Los_Angeles,California
Santa Barbara Municipal Airport,United States,SBA,KSBA,America/Los_Angeles,California
Daytona Beach International Airport,United States,DAB,KDAB,America/New_York,Florida
Downtown-Manhattan/Wall St Heliport,United States,JRB,KJRB,America/New_York,New York
Talkeetna Airport,United States,TKA,PATK,America/Anchorage,Alaska
Tweed New Haven Airport,United States,HVN,KHVN,America/New_York,Connecticut
Asheville Regional Airport,United States,AVL,KAVL,America/New_York,North Carolina
Piedmont Triad International Airport,United States,GSO,KGSO,America/New_York,North Carolina
Joe Foss Field Airport,United States,FSD,KFSD,America/Chicago,South Dakota
Manchester-Boston Regional Airport,United States,MHT,KMHT,America/New_York,New Hampshire
Naples Municipal Airport,United States,APF,KAPF,America/New_York,Florida
Louisville International Standiford Field,United States,SDF,KSDF,America/New_York,Kentucky
Charlottesville Albemarle Airport,United States,CHO,KCHO,America/New_York,Virginia
Roanoke–Blacksburg Regional Airport,United States,ROA,KROA,America/New_York,Virginia
Blue Grass Airport,United States,LEX,KLEX,America/New_York,Kentucky
Evansville Regional Airport,United States,EVV,KEVV,America/Chicago,Indiana
Albuquerque International Sunport,United States,ABQ,KABQ,America/Denver,New Mexico
Gallatin Field,United States,BZN,KBZN,America/Denver,Montana
Billings Logan International Airport,United States,BIL,KBIL,America/Denver,Montana
Bert Mooney Airport,United States,BTM,KBTM,America/Denver,Montana
Cherry Capital Airport,United States,TVC,KTVC,America/New_York,Michigan
Hancock County-Bar Harbor Airport,United States,BHB,KBHB,America/New_York,Maine
Knox County Regional Airport,United States,RKD,KRKD,America/New_York,Maine
Jackson Hole Airport,United States,JAC,KJAC,America/Denver,Wyoming
Chicago Rockford International Airport,United States,RFD,KRFD,America/Chicago,Illinois
Greenville Spartanburg International Airport,United States,GSP,KGSP,America/New_York,South Carolina
Central Illinois Regional Airport at Bloomington-Normal,United States,BMI,KBMI,America/Chicago,Illinois
Gulfport Biloxi International Airport,United States,GPT,KGPT,America/Chicago,Mississippi
Kalamazoo Battle Creek International Airport,United States,AZO,KAZO,America/New_York,Michigan
Toledo Express Airport,United States,TOL,KTOL,America/New_York,Ohio
Fort Wayne International Airport,United States,FWA,KFWA,America/New_York,Indiana
Decatur Airport,United States,DEC,KDEC,America/Chicago,Illinois
The Eastern Iowa Airport,United States,CID,KCID,America/Chicago,Iowa
La Crosse Municipal Airport,United States,LSE,KLSE,America/Chicago,Wisconsin
Central Wisconsin Airport,United States,CWA,KCWA,America/Chicago,Wisconsin
General Wayne A. Downing Peoria International Airport,United States,PIA,KPIA,America/Chicago,Illinois
Appleton International Airport,United States,ATW,KATW,America/Chicago,Wisconsin
Rochester International Airport,United States,RST,KRST,America/Chicago,Minnesota
University of Illinois Willard Airport,United States,CMI,KCMI,America/Chicago,Illinois
Manhattan Regional Airport,United States,MHK,KMHK,America/Chicago,Kansas
Venango Regional Airport,United States,FKL,KFKL,America/New_York,Pennsylvania
Grand Junction Regional Airport,United States,GJT,KGJT,America/Denver,Colorado
St George Municipal Airport,United States,SGU,KSGU,America/Denver,Utah
David Wayne Hooks Memorial Airport,United States,DWH,KDWH,America/Chicago,Texas
Sarasota Bradenton International Airport,United States,SRQ,KSRQ,America/New_York,Florida
Van Nuys Airport,United States,VNY,KVNY,America/Los_Angeles,California
Quad City International Airport,United States,MLI,KMLI,America/Chicago,Illinois
Panama City-Bay Co International Airport,United States,PFN,KPFN,America/Chicago,Florida
Bismarck Municipal Airport,United States,BIS,KBIS,America/Chicago,North Dakota
Telluride Regional Airport,United States,TEX,KTEX,America/Denver,Colorado
Rapid City Regional Airport,United States,RAP,KRAP,America/Denver,South Dakota
Mc Clellan-Palomar Airport,United States,CLD,KCRQ,America/Los_Angeles,California
Bishop International Airport,United States,FNT,KFNT,America/New_York,Michigan
Redding Municipal Airport,United States,RDD,KRDD,America/Los_Angeles,California
Mahlon Sweet Field,United States,EUG,KEUG,America/Los_Angeles,Oregon
Idaho Falls Regional Airport,United States,IDA,KIDA,America/Denver,Idaho
Rogue Valley International Medford Airport,United States,MFR,KMFR,America/Los_Angeles,Oregon
Roberts Field,United States,RDM,KRDM,America/Los_Angeles,Oregon
Akron Canton Regional Airport,United States,CAK,KCAK,America/New_York,Ohio
Huntsville International Carl T Jones Field,United States,HSV,KHSV,America/Chicago,Alabama
Mid Ohio Valley Regional Airport,United States,PKB,KPKB,America/New_York,Ohio
Montgomery Regional (Dannelly Field) Airport,United States,MGM,KMGM,America/Chicago,Alabama
Tri-Cities Regional TN/VA Airport,United States,TRI,KTRI,America/New_York,Tennessee
Barkley Regional Airport,United States,PAH,KPAH,America/Chicago,Kentucky
Page Municipal Airport,United States,PGA,KPGA,America/Phoenix,Arizona
Glacier Park International Airport,United States,FCA,KGPI,America/Denver,Montana
MBS International Airport,United States,MBS,KMBS,America/New_York,Michigan
Greater Binghamton/Edwin A Link field,United States,BGM,KBGM,America/New_York,New York
Blythe Airport,United States,BLH,KBLH,America/Los_Angeles,California
Petersburg James A Johnson Airport,United States,PSG,PAPG,America/Anchorage,Alaska
Orlando Sanford International Airport,United States,SFB,KSFB,America/New_York,Florida
John Murtha Johnstown Cambria County Airport,United States,JST,KJST,America/New_York,Pennsylvania
Missoula International Airport,United States,MSO,KMSO,America/Denver,Montana
Grand Canyon National Park Airport,United States,GCN,KGCN,America/Phoenix,Arizona
Sugar Land Regional Airport,United States,SGR,KSGR,America/Chicago,Texas
Centennial Airport,United States,APA,KAPA,America/Denver,Colorado
Clovis Municipal Airport,United States,CVN,KCVN,America/Denver,New Mexico
Fort Stockton Pecos County Airport,United States,FST,KFST,America/Chicago,Texas
Las Vegas Municipal Airport,United States,LVS,KLVS,America/Denver,New Mexico
West Houston Airport,United States,IWS,KIWS,America/Chicago,Texas
Las Cruces International Airport,United States,LRU,KLRU,America/Denver,New Mexico
Stephens County Airport,United States,BKD,KBKD,America/Chicago,Texas
Draughon Miller Central Texas Regional Airport,United States,TPL,KTPL,America/Chicago,Texas
Ozona Municipal Airport,United States,OZA,KOZA,America/Chicago,Texas
Eagle County Regional Airport,United States,EGE,KEGE,America/Denver,Colorado
Cuyahoga County Airport,United States,CGF,KCGF,America/New_York,Ohio
Mansfield Lahm Regional Airport,United States,MFD,KMFD,America/New_York,Ohio
Columbus Metropolitan Airport,United States,CSG,KCSG,America/New_York,Georgia
Lawton Fort Sill Regional Airport,United States,LAW,KLAW,America/Chicago,Oklahoma
Northern Colorado Regional Airport,United States,FNL,KFNL,America/Denver,Colorado
Flagstaff Pulliam Airport,United States,FLG,KFLG,America/Phoenix,Arizona
Lake Tahoe Airport,United States,TVL,KTVL,America/Los_Angeles,California
Joslin Field Magic Valley Regional Airport,United States,TWF,KTWF,America/Denver,Idaho
Martha's Vineyard Airport,United States,MVY,KMVY,America/New_York,Massachusetts
Concord Municipal Airport,United States,CON,KCON,America/New_York,New Hampshire
Groton New London Airport,United States,GON,KGON,America/New_York,Connecticut
St Cloud Regional Airport,United States,STC,KSTC,America/Chicago,Minnesota
Golden Triangle Regional Airport,United States,GTR,KGTR,America/Chicago,Mississippi
Bowerman Airport,United States,HQM,KHQM,America/Los_Angeles,Washington
Erie International Tom Ridge Field,United States,ERI,KERI,America/New_York,Pennsylvania
Barnstable Municipal Boardman Polando Field,United States,HYA,KHYA,America/New_York,Massachusetts
Sedona Airport,United States,SDX,KSEZ,America/Phoenix,Arizona
Morgantown Municipal Walter L. Bill Hart Field,United States,MGW,KMGW,America/New_York,West Virginia
Yeager Airport,United States,CRW,KCRW,America/New_York,West Virginia
Wilkes Barre Scranton International Airport,United States,AVP,KAVP,America/New_York,Pennsylvania
Bemidji Regional Airport,United States,BJI,KBJI,America/Chicago,Minnesota
Hector International Airport,United States,FAR,KFAR,America/Chicago,Minnesota
Charles B. Wheeler Downtown Airport,United States,MKC,KMKC,America/Chicago,Missouri
Gillette Campbell County Airport,United States,GCC,KGCC,America/Denver,Wyoming
El Toro Marine Corps Air Station,United States,NZJ,KNZJ,America/Los_Angeles,California
University Park Airport,United States,SCE,KUNV,America/New_York,Pennsylvania
Key Field,United States,MEI,KMEI,America/Chicago,Mississippi
Abraham Lincoln Capital Airport,United States,SPI,KSPI,America/Chicago,Illinois
Cortez Municipal Airport,United States,CEZ,KCEZ,America/Denver,Colorado
Yampa Valley Airport,United States,HDN,KHDN,America/Denver,Colorado
Gallup Municipal Airport,United States,GUP,KGUP,America/Denver,New Mexico
Liberal Mid-America Regional Airport,United States,LBL,KLBL,America/Chicago,Kansas
Lamar Municipal Airport,United States,LAA,KLAA,America/Denver,Colorado
Renner Field-Goodland Municipal Airport,United States,GLD,KGLD,America/Denver,Kansas
Yellowstone Regional Airport,United States,COD,KCOD,America/Denver,Wyoming
Springfield Branson National Airport,United States,SGF,KSGF,America/Chicago,Missouri
Joplin Regional Airport,United States,JLN,KJLN,America/Chicago,Missouri
Lehigh Valley International Airport,United States,ABE,KABE,America/New_York,Pennsylvania
Northwest Arkansas Regional Airport,United States,XNA,KXNA,America/Chicago,Arkansas
South Bend Regional Airport,United States,SBN,KSBN,America/New_York,Indiana
Smith Field,United States,SMD,KSMD,America/New_York,Indiana
California Redwood Coast-Humboldt County Airport,United States,ACV,KACV,America/Los_Angeles,California
Albert J Ellis Airport,United States,OAJ,KOAJ,America/New_York,North Carolina
Tuscaloosa Regional Airport,United States,TCL,KTCL,America/Chicago,Alabama
Dubuque Regional Airport,United States,DBQ,KDBQ,America/Chicago,Iowa
Aberdeen Regional Airport,United States,ABR,KABR,America/Chicago,South Dakota
Southwest Georgia Regional Airport,United States,ABY,KABY,America/New_York,Georgia
Athens Ben Epps Airport,United States,AHN,KAHN,America/New_York,Georgia
Alamogordo White Sands Regional Airport,United States,ALM,KALM,America/Denver,New Mexico
Waterloo Regional Airport,United States,ALO,KALO,America/Chicago,Iowa
Walla Walla Regional Airport,United States,ALW,KALW,America/Los_Angeles,Washington
Alpena County Regional Airport,United States,APN,KAPN,America/New_York,Michigan
Watertown Regional Airport,United States,ATY,KATY,America/Chicago,South Dakota
Bradford Regional Airport,United States,BFD,KBFD,America/New_York,Pennsylvania
Western Neb. Rgnl/William B. Heilig Airport,United States,BFF,KBFF,America/Denver,Nebraska
Raleigh County Memorial Airport,United States,BKW,KBKW,America/New_York,West Virginia
Brunswick Golden Isles Airport,United States,BQK,KBQK,America/New_York,Georgia
Southeast Iowa Regional Airport,United States,BRL,KBRL,America/Chicago,Iowa
Jack Mc Namara Field Airport,United States,CEC,KCEC,America/Los_Angeles,California
Cape Girardeau Regional Airport,United States,CGI,KCGI,America/Chicago,Missouri
Chippewa County International Airport,United States,CIU,KCIU,America/New_York,Michigan
North Central West Virginia Airport,United States,CKB,KCKB,America/New_York,West Virginia
William R Fairchild International Airport,United States,CLM,KCLM,America/Los_Angeles,Washington
Houghton County Memorial Airport,United States,CMX,KCMX,America/New_York,Michigan
Dodge City Regional Airport,United States,DDC,KDDC,America/Chicago,Kansas
DuBois Regional Airport,United States,DUJ,KDUJ,America/New_York,Pennsylvania
Chippewa Valley Regional Airport,United States,EAU,KEAU,America/Chicago,Wisconsin
Elko Regional Airport,United States,EKO,KEKO,America/Los_Angeles,Nevada
New Bedford Regional Airport,United States,EWB,KEWB,America/New_York,Massachusetts
Fayetteville Regional Grannis Field,United States,FAY,KFAY,America/New_York,North Carolina
Wokal Field Glasgow International Airport,United States,GGW,KGGW,America/Denver,Montana
Central Nebraska Regional Airport,United States,GRI,KGRI,America/Chicago,Nebraska
Memorial Field,United States,HOT,KHOT,America/Chicago,Arkansas
Tri-State/Milton J. Ferguson Field,United States,HTS,KHTS,America/New_York,West Virginia
Kirksville Regional Airport,United States,IRK,KIRK,America/Chicago,Missouri
Jamestown Regional Airport,United States,JMS,KJMS,America/Chicago,North Dakota
Laramie Regional Airport,United States,LAR,KLAR,America/Denver,Wyoming
Arnold Palmer Regional Airport,United States,LBE,KLBE,America/New_York,Pennsylvania
North Platte Regional Airport Lee Bird Field,United States,LBF,KLBF,America/Chicago,Nebraska
Lebanon Municipal Airport,United States,LEB,KLEB,America/New_York,Vermont
Crater Lake-Klamath Regional Airport,United States,LMT,KLMT,America/Los_Angeles,Oregon
Lancaster Airport,United States,LNS,KLNS,America/New_York,Pennsylvania
Lewistown Municipal Airport,United States,LWT,KLWT,America/Denver,Montana
Lynchburg Regional Preston Glenn Field,United States,LYH,KLYH,America/New_York,Virginia
Muskegon County Airport,United States,MKG,KMKG,America/New_York,Michigan
Frank Wiley Field,United States,MLS,KMLS,America/Denver,Montana
Northwest Alabama Regional Airport,United States,MSL,KMSL,America/Chicago,Alabama
Southwest Oregon Regional Airport,United States,OTH,KOTH,America/Los_Angeles,Oregon
Owensboro Daviess County Airport,United States,OWB,KOWB,America/Chicago,Kentucky
Hattiesburg Laurel Regional Airport,United States,PIB,KPIB,America/Chicago,Mississippi
Pocatello Regional Airport,United States,PIH,KPIH,America/Denver,Idaho
Pierre Regional Airport,United States,PIR,KPIR,America/Chicago,South Dakota
Pellston Regional Airport of Emmet County Airport,United States,PLN,KPLN,America/New_York,Michigan
Portsmouth International at Pease Airport,United States,PSM,KPSM,America/New_York,New Hampshire
Reading Regional Carl A Spaatz Field,United States,RDG,KRDG,America/New_York,Pennsylvania
Rhinelander Oneida County Airport,United States,RHI,KRHI,America/Chicago,Wisconsin
Southwest Wyoming Regional Airport,United States,RKS,KRKS,America/Denver,Wyoming
Rutland - Southern Vermont Regional Airport,United States,RUT,KRUT,America/New_York,Vermont
San Luis County Regional Airport,United States,SBP,KSBP,America/Los_Angeles,California
Sheridan County Airport,United States,SHR,KSHR,America/Denver,Wyoming
Adirondack Regional Airport,United States,SLK,KSLK,America/New_York,New York
Salina Municipal Airport,United States,SLN,KSLN,America/Chicago,Kansas
Santa Maria Pub/Capt G Allan Hancock Field,United States,SMX,KSMX,America/Los_Angeles,California
Tupelo Regional Airport,United States,TUP,KTUP,America/Chicago,Mississippi
Quincy Regional Baldwin Field,United States,UIN,KUIN,America/Chicago,Illinois
Victoria Regional Airport,United States,VCT,KVCT,America/Chicago,Texas
Valdosta Regional Airport,United States,VLD,KVLD,America/New_York,Georgia
Worland Municipal Airport,United States,WRL,KWRL,America/Denver,Wyoming
Yakima Air Terminal McAllister Field,United States,YKM,KYKM,America/Los_Angeles,Washington
Adak Airport,United States,ADK,PADK,America/Adak,Alaska
Gustavus Airport,United States,GST,PAGS,America/Anchorage,Alaska
Skagway Airport,United States,SGY,PAGY,America/Anchorage,Alaska
Holy Cross Airport,United States,HCR,PAHC,America/Anchorage,Alaska
Haines Airport,United States,HNS,PAHN,America/Anchorage,Alaska
Kalskag Airport,United States,KLG,PALG,America/Anchorage,Alaska
McGrath Airport,United States,MCG,PAMC,America/Anchorage,Alaska
Mountain Village Airport,United States,MOU,PAMO,America/Anchorage,Alaska
Aniak Airport,United States,ANI,PANI,America/Anchorage,Alaska
Chevak Airport,United States,VAK,PAVA,America/Anchorage,Alaska
Wrangell Airport,United States,WRG,PAWG,America/Anchorage,Alaska
Kalaupapa Airport,United States,LUP,PHLU,Pacific/Honolulu,Hawaii
Aleknagik / New Airport,United States,WKK,5A8,America/Anchorage,Alaska
Mercer County Airport,United States,BLF,KBLF,America/New_York,West Virginia
Mid Delta Regional Airport,United States,GLH,KGLH,America/Chicago,Mississippi
Tri Cities Airport,United States,PSC,KPSC,America/Los_Angeles,Washington
Akutan Seaplane Base,United States,KQA,KQA,America/Anchorage,Alaska
Lopez Island Airport,United States,LPS,S31,America/Los_Angeles,Washington
Waikoloa Heliport,United States,WKL,HI07,Pacific/Honolulu,Hawaii
Worcester Regional Airport,United States,ORH,KORH,America/New_York,Massachusetts
Bremerton National Airport,United States,PWT,KPWT,America/Los_Angeles,Washington
Spencer Municipal Airport,United States,SPW,KSPW,America/Chicago,Iowa
Jefferson City Memorial Airport,United States,JEF,KJEF,America/Chicago,Missouri
Provincetown Municipal Airport,United States,PVC,KPVC,America/New_York,Massachusetts
Fullerton Municipal Airport,United States,FUL,KFUL,America/Los_Angeles,California
Concord-Padgett Regional Airport,United States,USA,KJQF,America/New_York,North Carolina
Friedman Memorial Airport,United States,SUN,KSUN,America/Denver,Idaho
Mason City Municipal Airport,United States,MCW,KMCW,America/Chicago,Iowa
Phoenix-Mesa-Gateway Airport,United States,AZA,KIWA,America/Phoenix,Arizona
Anaktuvuk Pass Airport,United States,AKP,PAKP,America/Anchorage,Alaska
Anvik Airport,United States,ANV,PANV,America/Anchorage,Alaska
Atqasuk Edward Burnell Sr Memorial Airport,United States,ATK,PATQ,America/Anchorage,Alaska
Hooper Bay Airport,United States,HPB,PAHP,America/Anchorage,Alaska
Kaltag Airport,United States,KAL,PAKV,America/Anchorage,Alaska
St Mary's Airport,United States,KSM,PASM,America/Anchorage,Alaska
Kivalina Airport,United States,KVL,PAVL,America/Anchorage,Alaska
Mekoryuk Airport,United States,MYU,PAMY,America/Anchorage,Alaska
Ruby Airport,United States,RBY,PARY,America/Anchorage,Alaska
Shishmaref Airport,United States,SHH,PASH,America/Anchorage,Alaska
Noatak Airport,United States,WTK,PAWN,America/Anchorage,Alaska
Arctic Village Airport,United States,ARC,PARC,America/Anchorage,Alaska
Port Clarence Coast Guard Station,United States,KPC,PAPC,America/Anchorage,Alaska
Hagerstown Regional Richard A Henson Field,United States,HGR,KHGR,America/New_York,Pennsylvania
Sand Point Airport,United States,SDP,PASD,America/Anchorage,Alaska
Deering Airport,United States,DRG,PADE,America/Anchorage,Alaska
Igiugig Airport,United States,IGG,PAIG,America/Anchorage,Alaska
New Stuyahok Airport,United States,KNW,PANW,America/Anchorage,Alaska
King Cove Airport,United States,KVC,PAVC,America/Anchorage,Alaska
Port Heiden Airport,United States,PTH,PAPH,America/Anchorage,Alaska
Togiak Airport,United States,TOG,PATG,America/Anchorage,Alaska
Delta County Airport,United States,ESC,KESC,America/New_York,Michigan
Williamson County Regional Airport,United States,MWA,KMWA,America/Chicago,Illinois
Ford Airport,United States,IMT,KIMT,America/Chicago,Michigan
Allakaket Airport,United States,AET,PFAL,America/Anchorage,Alaska
Michigan City Municipal Airport,United States,MGC,KMGC,America/Chicago,Indiana
Seward Airport,United States,SWD,PAWD,America/Anchorage,Alaska
Grand Marais Cook County Airport,United States,GRM,KCKC,America/Chicago,Minnesota
Wausau Downtown Airport,United States,AUW,KAUW,America/Chicago,Wisconsin
Delaware County Johnson Field,United States,MIE,KMIE,America/New_York,Indiana
Purdue University Airport,United States,LAF,KLAF,America/New_York,Indiana
North Las Vegas Airport,United States,VGT,KVGT,America/Los_Angeles,Nevada
Kenosha Regional Airport,United States,ENW,KENW,America/Chicago,Wisconsin
Montrose Regional Airport,United States,MTJ,KMTJ,America/Denver,Colorado
Riverton Regional Airport,United States,RIW,KRIW,America/Denver,Wyoming
Eastern Oregon Regional At Pendleton Airport,United States,PDT,KPDT,America/Los_Angeles,Oregon
Wittman Regional Airport,United States,OSH,KOSH,America/Chicago,Wisconsin
Pangborn Memorial Airport,United States,EAT,KEAT,America/Los_Angeles,Washington
NAS Fort Worth JRB/Carswell Field,United States,FWH,KNFW,America/Chicago,Texas
Gary Chicago International Airport,United States,GYY,KGYY,America/Chicago,Indiana
Brainerd Lakes Regional Airport,United States,BRD,KBRD,America/Chicago,Minnesota
Greenbrier Valley Airport,United States,LWB,KLWB,America/New_York,West Virginia
Pitt Greenville Airport,United States,PGV,KPGV,America/New_York,North Carolina
Chefornak Airport,United States,CYF,PACK,America/Anchorage,Alaska
Oxnard Airport,United States,OXR,KOXR,America/Los_Angeles,California
Branson Airport,United States,BKG,KBBG,America/Chicago,Missouri
Schenectady County Airport,United States,SCH,KSCH,America/New_York,New York
Northeast Florida Regional Airport,United States,UST,KSGJ,America/New_York,Florida
Charles M. Schulz Sonoma County Airport,United States,STS,KSTS,America/Los_Angeles,California
Kissimmee Gateway Airport,United States,ISM,KISM,America/New_York,Florida
Lake City Gateway Airport,United States,LCQ,KLCQ,America/New_York,Florida
Logan-Cache Airport,United States,LGU,KLGU,America/Denver,Utah
Brigham City Regional Airport,United States,BMC,KBMC,America/Denver,Utah
Aspen-Pitkin Co/Sardy Field,United States,ASE,KASE,America/Denver,Colorado
Kerrville Municipal Louis Schreiner Field,United States,ERV,KERV,America/Chicago,Texas
Sussex County Airport,United States,GED,KGED,America/New_York,Delaware
Great Bend Municipal Airport,United States,GBD,KGBD,America/Chicago,Kansas
Hays Regional Airport,United States,HYS,KHYS,America/Chicago,Kansas
Spirit of St Louis Airport,United States,SUS,KSUS,America/Chicago,Missouri
Ely Municipal Airport,United States,LYU,KELO,America/Chicago,Minnesota
Grand Rapids Itasca Co-Gordon Newstrom field,United States,GPZ,KGPZ,America/Chicago,Minnesota
Thief River Falls Regional Airport,United States,TVF,KTVF,America/Chicago,Minnesota
Eagle River Union Airport,United States,EGV,KEGV,America/Chicago,Wisconsin
Lakeland-Noble F. Lee Memorial field,United States,ARV,KARV,America/Chicago,Wisconsin
Catalina Airport,United States,AVX,KAVX,America/Los_Angeles,California
Mojave Airport,United States,MHV,KMHV,America/Los_Angeles,California
Hutchinson Municipal Airport,United States,HUT,KHUT,America/Chicago,Kansas
Rosecrans Memorial Airport,United States,STJ,KSTJ,America/Chicago,Kansas
Volk Field,United States,VOK,KVOK,America/Chicago,Wisconsin
Gunnison Crested Butte Regional Airport,United States,GUC,KGUC,America/Denver,Colorado
Zamperini Field,United States,TOA,KTOA,America/Los_Angeles,California
Manistee Co Blacker Airport,United States,MBL,KMBL,America/New_York,Michigan
Charlotte County Airport,United States,PGD,KPGD,America/New_York,Florida
Northern Aroostook Regional Airport,United States,WFK,KFVE,America/New_York,Maine
Chautauqua County-Jamestown Airport,United States,JHW,KJHW,America/New_York,New York
Lake Cumberland Regional Airport,United States,SME,KSME,America/New_York,Kentucky
Shenandoah Valley Regional Airport,United States,SHD,KSHD,America/New_York,Virginia
Devils Lake Regional Airport,United States,DVL,KDVL,America/Chicago,North Dakota
Dickinson Theodore Roosevelt Regional Airport,United States,DIK,KDIK,America/Denver,North Dakota
Sidney - Richland Regional Airport,United States,SDY,KSDY,America/Denver,Montana
Chadron Municipal Airport,United States,CDR,KCDR,America/Denver,Nebraska
Alliance Municipal Airport,United States,AIA,KAIA,America/Denver,Nebraska
Mc Cook Ben Nelson Regional Airport,United States,MCK,KMCK,America/Chicago,Nebraska
The Florida Keys Marathon Airport,United States,MTH,KMTH,America/New_York,Florida
